,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000000003,709.8797778,-0.367219439,0.100214073,0.00014075,0.001094548
ENSG00000000419,521.1555386,0.184340416,0.107734012,0.067461051,0.18585156
ENSG00000000457,237.5731626,0.0295551,0.12921815,0.802722877,0.904035237
ENSG00000000460,58.03496224,-0.050752652,0.211798409,0.741001506,0.871679969
ENSG00000000971,5826.537783,0.405759606,0.089231803,2.11E-06,2.48E-05
ENSG00000001036,1284.527196,-0.230354148,0.08809156,0.006603136,0.030205524
ENSG00000001084,611.0145954,-0.04114672,0.148224296,0.761882536,0.882666845
ENSG00000001167,369.9804099,-0.470442778,0.119883908,2.62E-05,0.000245979
ENSG00000001460,183.5655614,-0.097527893,0.157093466,0.472893721,0.682862977
ENSG00000001461,2819.585775,-0.038034839,0.09852988,0.672474449,0.82889425
ENSG00000001497,540.7447032,-0.006158968,0.100941091,0.949843233,0.976877642
ENSG00000001561,114.3069486,0.1590186,0.185228866,0.292083162,0.514314287
ENSG00000001617,599.8132793,-0.234103543,0.105109658,0.018961464,0.070675699
ENSG00000001629,1783.027396,-0.222812388,0.080437282,0.005035682,0.024105043
ENSG00000001630,54.80717031,0.005363719,0.220589614,0.973715889,0.987098461
ENSG00000001631,786.7853628,-0.0352629,0.098447886,0.703405757,0.848689346
ENSG00000002016,184.1809414,-0.265395795,0.150595098,0.045961142,0.140000364
ENSG00000002330,178.3457983,0.0716175,0.138119094,0.570060196,0.759778155
ENSG00000002549,1255.669972,0.167336892,0.10271119,0.08359634,0.217335787
ENSG00000002586,8299.396311,0.082427195,0.07994778,0.290123375,0.512171317
ENSG00000002746,108.6201257,0.073655756,0.167500201,0.606750765,0.785976927
ENSG00000002822,350.3939869,-0.140419934,0.123412779,0.213543796,0.420400099
ENSG00000002834,7180.496673,0.374384218,0.093822932,2.86E-05,0.000263753
ENSG00000002919,250.9240313,0.360529158,0.136370195,0.003581788,0.018156186
ENSG00000002933,541.1256615,0.314231756,0.142332801,0.013670779,0.054251613
ENSG00000003056,1067.09244,-0.068995175,0.089301931,0.417516943,0.636031407
ENSG00000003096,378.7462346,-0.907026546,0.144740171,3.82E-11,9.00E-10
ENSG00000003137,104.7898307,-0.732317928,0.307777911,0.00163392,0.0093424
ENSG00000003249,116.5969925,-0.219597822,0.175344273,0.136025271,0.310818587
ENSG00000003393,852.4295497,0.15640599,0.093176286,0.078277871,0.206797127
ENSG00000003400,80.33230833,-0.309194855,0.209575179,0.063936516,0.178694917
ENSG00000003402,2549.954956,1.166021649,0.122459503,1.14E-22,8.76E-21
ENSG00000003436,4477.49975,-0.172037242,0.141539266,0.186423907,0.385243577
ENSG00000003509,291.3147644,-0.046274979,0.123981609,0.688810739,0.838680629
ENSG00000003756,2121.228874,-0.17704873,0.093273459,0.045846844,0.139736055
ENSG00000003987,25.54283899,0.745687137,0.394275534,0.005556548,0.026175554
ENSG00000003989,38.47137807,0.279357442,0.310988501,0.130305341,0.301610523
ENSG00000004059,1227.248271,0.3469885,0.088600279,4.45E-05,0.000389339
ENSG00000004139,85.03232492,-0.118006304,0.183643122,0.431642358,0.648107896
ENSG00000004142,1462.460167,0.132909206,0.085410203,0.108837572,0.264204935
ENSG00000004399,3639.91281,-0.036406464,0.107209899,0.713549544,0.854467727
ENSG00000004455,1226.826118,0.024088161,0.112785933,0.819262216,0.913680246
ENSG00000004478,467.2185046,-0.067558869,0.107034212,0.50151589,0.706170243
ENSG00000004487,1240.00505,-0.286396176,0.087507373,0.000642193,0.004182822
ENSG00000004534,1287.59612,-0.177424321,0.090108112,0.039092897,0.123743222
ENSG00000004660,78.2802142,-0.413013266,0.260596599,0.030492082,0.102210987
ENSG00000004700,1037.022502,0.341424008,0.101053194,0.000327276,0.002313231
ENSG00000004766,479.7517631,-0.028874986,0.105751737,0.76889432,0.886581681
ENSG00000004776,2779.667814,-0.070760584,0.087700292,0.400396572,0.620446452
ENSG00000004777,97.36921831,-0.318746795,0.20034559,0.049415142,0.148031353
ENSG00000004779,366.2999231,0.087981683,0.118579726,0.421443833,0.639260937
ENSG00000004799,915.6135413,2.247840192,0.748854586,2.67E-05,0.000248931
ENSG00000004838,12.83384386,-0.109773123,0.292405422,0.438109097,0.654089472
ENSG00000004846,18.04982375,-1.27453308,0.638302878,0.001715004,0.009717382
ENSG00000004864,150.6794116,-0.002449179,0.149879968,0.984155276,0.992037684
ENSG00000004866,412.9441597,-0.524216623,0.135936629,2.81E-05,0.000259631
ENSG00000004897,1520.683529,0.047710689,0.085740892,0.562193982,0.755112603
ENSG00000004961,438.1811713,-0.128661855,0.124051638,0.257819743,0.475102871
ENSG00000004975,993.7177731,-0.302579775,0.096914841,0.001002511,0.006125803
ENSG00000005007,2265.655671,0.22219831,0.082520966,0.004799774,0.023176331
ENSG00000005020,756.9905267,0.195348975,0.106301663,0.050395882,0.150075374
ENSG00000005022,1120.884285,-0.031955184,0.091136011,0.709620116,0.852771234
ENSG00000005059,212.1216158,0.067531983,0.138506343,0.580314618,0.766730467
ENSG00000005075,819.2461325,0.048473987,0.103121773,0.617065381,0.792755617
ENSG00000005100,485.9248323,0.321951547,0.129018676,0.006281748,0.029039524
ENSG00000005108,10.57642939,0.142549722,0.308631998,0.325052842,0.547828947
ENSG00000005156,205.9918835,-0.333702752,0.165046034,0.019385148,0.071843662
ENSG00000005175,312.7810275,-0.195764214,0.129016255,0.094885056,0.238123754
ENSG00000005187,8.753655648,0.005257223,0.283600751,0.969111265,0.985078125
ENSG00000005189,75.48007464,-0.241379899,0.230130409,0.155950537,0.341715753
ENSG00000005194,456.1232005,0.148152143,0.105401321,0.136176949,0.311010769
ENSG00000005206,660.289395,0.05588033,0.102794109,0.566066642,0.757310923
ENSG00000005238,704.4697335,-0.167888548,0.105061625,0.088303908,0.226086306
ENSG00000005243,1019.190904,-0.091021816,0.089971738,0.282786307,0.503661897
ENSG00000005249,298.5283695,0.533556411,0.181814532,0.000711228,0.004582119
ENSG00000005302,462.890688,0.124323419,0.117855662,0.250131558,0.466012383
ENSG00000005339,2561.433494,-0.096549626,0.098208449,0.307814382,0.53069681
ENSG00000005379,152.45117,0.184412965,0.169357413,0.199920203,0.402508273
ENSG00000005436,257.6463181,0.125706722,0.123882778,0.27045595,0.490652267
ENSG00000005448,232.6823168,0.24210484,0.160303414,0.074402318,0.199641207
ENSG00000005469,422.8089636,-0.213597202,0.127892762,0.06668087,0.184285714
ENSG00000005471,33.74082238,-0.910637916,0.375921574,0.001200519,0.007190115
ENSG00000005483,1700.116621,0.078132439,0.087504936,0.362061833,0.582471713
ENSG00000005486,851.7240617,-0.10369639,0.095041129,0.247534365,0.463205242
ENSG00000005700,1160.25821,-0.053204988,0.093888944,0.553863744,0.748073397
ENSG00000005801,210.9217775,-0.262079981,0.146598228,0.044587148,0.136601128
ENSG00000005810,2424.500771,-0.022411287,0.089490011,0.791724662,0.898424786
ENSG00000005812,1411.69703,0.438509476,0.112106131,3.15E-05,0.000287911
ENSG00000005882,643.4075789,-0.062458205,0.110039015,0.548659925,0.744100688
ENSG00000005884,1286.844368,0.310095038,0.125504481,0.006654555,0.030373057
ENSG00000005889,788.177008,0.072830218,0.092773562,0.411783656,0.631429506
ENSG00000005893,5178.821353,0.059519506,0.074772215,0.402228739,0.6219179
ENSG00000005955,1430.348732,0.095667531,0.097771631,0.302409531,0.524964958
ENSG00000005961,8.407073114,-0.047172682,0.291823583,0.691181383,0.840355035
ENSG00000006007,2207.679917,0.155995372,0.084568474,0.055195828,0.160622473
ENSG00000006015,373.0305048,-0.037235721,0.125870071,0.744879527,0.873100613
ENSG00000006016,146.5050352,0.205046374,0.195117663,0.18855422,0.388053093
ENSG00000006025,160.6256356,-0.896414172,0.179389855,6.25E-08,9.70E-07
ENSG00000006042,3092.576687,-0.033340311,0.078055171,0.668407173,0.826133046
ENSG00000006062,197.2399698,-0.620278517,0.198715931,0.000292497,0.002095973
ENSG00000006114,997.6954564,-0.495370176,0.096417741,8.21E-08,1.23E-06
ENSG00000006118,434.7116472,-0.475174607,0.119175832,2.16E-05,0.000206341
ENSG00000006125,6753.185541,0.034995111,0.10047042,0.711704782,0.85355688
ENSG00000006194,553.2117626,0.086438528,0.11504946,0.42072311,0.638763218
ENSG00000006210,9.620658883,0.375823979,0.546141715,0.043956821,0.135249085
ENSG00000006282,1372.118061,-0.104009851,0.086211666,0.209699587,0.415295267
ENSG00000006283,63.06511416,-1.362446311,0.288251827,1.50E-07,2.16E-06
ENSG00000006327,559.8052612,-0.187131055,0.189017505,0.215829012,0.423542424
ENSG00000006451,1097.445288,-0.529030789,0.118464461,1.94E-06,2.29E-05
ENSG00000006453,152.1799761,-0.171844626,0.151165647,0.197180118,0.39956059
ENSG00000006459,396.4195635,-0.007467002,0.160785095,0.954885275,0.978630648
ENSG00000006468,200.1365217,-0.195051422,0.186595957,0.197309054,0.399615501
ENSG00000006530,309.6851984,0.001601119,0.115991881,0.989147818,0.994722001
ENSG00000006534,1144.14244,0.414934541,0.117707022,0.000143946,0.001116322
ENSG00000006576,1072.598599,-0.410594402,0.097391458,9.18E-06,9.44E-05
